id,year,month,day,season,holiday,workingday,weather_code,temp,temp_feel,humidity,windspeed,demand
1,2017,1,1,0,0,0,1,9.84,14.395,81,0,2.772588722
2,2017,1,1,0,0,0,1,9.02,13.635,80,0,3.688879454
3,2017,1,1,0,0,0,1,9.02,13.635,80,0,3.465735903
4,2017,1,1,0,0,0,1,9.84,14.395,75,0,2.564949357
5,2017,1,1,0,0,0,1,9.84,14.395,75,0,0
6,2017,1,1,0,0,0,2,9.84,12.88,75,6.0032,0
7,2017,1,1,0,0,0,1,20.08945377,13.635,80,0,0.693147181
8,2017,1,1,0,0,0,1,8.2,12.88,86,0,1.098612289
9,2017,1,1,0,0,0,1,9.84,14.395,75,0,2.079441542
10,2017,1,1,0,0,0,1,13.12,17.425,76,0,2.63905733
11,2017,1,1,0,0,0,1,15.58,19.695,76,16.9979,3.583518938
12,2017,1,1,0,0,0,1,14.76,16.665,81,19.0012,4.025351691
13,2017,1,1,0,0,0,1,17.22,21.21,77,19.0012,4.430816799
14,2017,1,1,0,0,0,2,18.86,22.725,72,19.9995,4.543294782
15,2017,1,1,0,0,0,2,18.86,22.725,72,19.0012,4.663439094
16,2017,1,1,0,0,0,2,18.04,21.97,77,19.9995,4.700480366
17,2017,1,1,0,0,0,2,17.22,21.21,82,19.9995,4.532599493
18,2017,1,1,0,0,0,2,18.04,21.97,82,19.0012,4.204692619
19,2017,1,1,0,0,0,3,17.22,21.21,88,16.9979,3.555348061
20,2017,1,1,0,0,0,3,20.08945377,21.21,88,16.9979,3.610917913
21,2017,1,1,0,0,0,2,16.4,20.455,87,16.9979,3.583518938
22,2017,1,1,0,0,0,2,16.4,20.455,87,12.998,3.526360525
23,2017,1,1,0,0,0,2,16.4,20.455,94,15.0013,3.33220451
24,2017,1,1,0,0,0,2,20.08945377,22.725,88,19.9995,3.663561646
25,2017,1,2,0,0,0,2,18.86,22.725,88,19.9995,2.833213344
26,2017,1,2,0,0,0,2,18.04,21.97,94,16.9979,2.833213344
27,2017,1,2,0,0,0,2,20.08945377,21.21,100,19.0012,2.197224577
28,2017,1,2,0,0,0,2,18.86,22.725,94,12.998,1.791759469
29,2017,1,2,0,0,0,2,18.86,22.725,94,12.998,1.098612289
30,2017,1,2,0,0,0,3,17.22,21.21,77,19.9995,0.693147181
31,2017,1,2,0,0,0,2,16.4,20.455,76,12.998,0
32,2017,1,2,0,0,0,3,20.08945377,20.455,71,15.0013,2.079441542
33,2017,1,2,0,0,0,2,15.58,19.695,76,15.0013,2.995732274
34,2017,1,2,0,0,0,2,14.76,17.425,81,15.0013,3.970291914
35,2017,1,2,0,0,0,2,14.76,16.665,71,16.9979,4.248495242
36,2017,1,2,0,0,0,2,14.76,23.53126075,66,19.9995,4.532599493
37,2017,1,2,0,0,0,2,14.76,17.425,66,8.9981,4.317488114
38,2017,1,2,0,0,0,3,14.76,17.425,76,12.998,4.077537444
39,2017,1,2,0,0,0,3,13.94,16.665,81,11.0014,4.304065093
40,2017,1,2,0,0,0,3,20.08945377,16.665,71,11.0014,4.33073334
41,2017,1,2,0,0,0,1,13.94,16.665,57,12.998,4.17438727
42,2017,1,2,0,0,0,2,14.76,16.665,46,22.0028,3.970291914
43,2017,1,2,0,0,0,1,13.12,14.395,42,30.0026,3.401197382
44,2017,1,2,0,0,0,1,20.08945377,13.635,39,23.9994,3.091042453
45,2017,1,2,0,0,0,1,10.66,11.365,44,22.0028,3.433987204
46,2017,1,2,0,0,0,1,9.84,10.605,44,19.9995,2.197224577
47,2017,1,2,0,0,0,1,20.08945377,11.365,47,11.0014,2.079441542
48,2017,1,3,0,0,0,1,9.02,9.85,44,23.9994,1.609437912
49,2017,1,3,0,0,0,1,20.08945377,8.335,44,27.9993,0.693147181
50,2017,1,3,0,0,0,1,6.56,6.82,47,26.0027,0
51,2017,1,3,0,0,0,1,6.56,6.82,47,19.0012,1.098612289
52,2017,1,3,0,0,0,1,5.74,5.305,50,26.0027,3.401197382
53,2017,1,3,0,0,0,1,20.08945377,6.82,60.9935402,12.998,4.158883083
54,2017,1,3,0,0,0,1,5.74,6.06,50,19.0012,5.036952602
55,2017,1,3,0,0,0,1,6.56,6.82,43,26.0027,4.477336814
56,2017,1,3,0,0,0,1,7.38,8.335,43,16.9979,3.784189634
57,2017,1,3,0,0,0,1,8.2,9.09,40,22.0028,3.931825633
58,2017,1,3,0,0,0,1,20.08945377,10.605,35,19.9995,4.110873864
59,2017,1,3,0,0,0,1,9.84,10.605,35,19.0012,4.110873864
60,2017,1,3,0,0,0,1,10.66,12.12,30,19.0012,4.343805422
61,2017,1,3,0,0,0,1,10.66,12.12,30,16.9979,4.276666119
62,2017,1,3,0,0,0,1,10.66,12.12,30,16.9979,4.33073334
63,2017,1,3,0,0,0,1,9.84,11.365,30,15.0013,5.056245805
64,2017,1,3,0,0,0,1,9.84,12.88,32,7.0015,5.056245805
65,2017,1,3,0,0,0,1,8.2,12.88,47,0,4.700480366
66,2017,1,3,0,0,0,1,20.08945377,11.365,47,7.0015,3.951243719
67,2017,1,3,0,0,0,1,7.38,9.85,64,8.9981,3.951243719
68,2017,1,3,0,0,0,1,5.74,7.575,69,8.9981,2.995732274
69,2017,1,3,0,0,0,1,7.38,10.605,55,7.0015,2.48490665
70,2017,1,4,0,0,0,1,6.56,9.09,55,7.0015,1.609437912
71,2017,1,4,0,0,0,1,6.56,9.09,59,7.0015,0.693147181
72,2017,1,4,0,0,0,1,5.74,7.575,63,8.9981,0
73,2017,1,4,0,0,0,1,5.74,9.09,63,6.0032,0.693147181
74,2017,1,4,0,0,0,1,4.92,7.575,68,7.0015,1.386294361
75,2017,1,4,0,0,0,1,20.08945377,7.575,74,7.0015,3.583518938
