date,demand
2017-01-00,2.772588722
01/01/2017,2.833213344
02/01/2017,3.218875825
03/01/2017,3.663561646
05/02/2017,2.079441542
06/02/2017,3.663561646
07/02/2017,3.663561646
09/03/2017,1.945910149
10/03/2017,3.951243719
11/03/2017,3.63758616
13/04/2017,1.791759469
14/04/2017,3.663561646
15/04/2017,3.970291914
16/04/2017,3.496507561
18/05/2017,4.564348191
19/05/2017,4.605170186
20/05/2017,3.663561646
22/06/2017,3.526360525
23/06/2017,4.727387819
24/06/2017,4.779123493
25/06/2017,4.48863637
26/07/2017,4.219507705
27/07/2017,4.9698133
28/07/2017,5.036952602
29/07/2017,4.828313737
31/08/2017,3.36729583
2017-08-32,4.382026635
2017-08-33,4.49980967
2017-09-35,3.931825633
2017-09-36,4.691347882
2017-09-37,4.682131227
2017-09-38,4.718498871
2017-10-39,4.86753445
2017-10-40,3.850147602
2017-10-41,4.859812404
2017-10-42,4.672828834
2017-11-44,3.044522438
2017-11-45,4.317488114
2017-11-46,4.290459441
2017-12-48,2.995732274
2017-12-49,4.418840608
2017-12-50,4.304065093
2017-12-51,4.262679877
